watch time,stream time,peak viewers,average viewers,followers,followers gained,views gained,partnered,mature,top count
378068100,88155,28808,3770,1085972,868150,15048960,TRUE,FALSE,321
377696580,137925,11751,2694,249710,28644,6494618,TRUE,FALSE,322
376003020,92055,15429,4043,262398,81357,6044640,TRUE,FALSE,323
372335085,186900,48810,1867,169350,144548,9239810,TRUE,FALSE,324
371371440,81870,19611,4506,600931,130664,7185795,TRUE,FALSE,325
371287470,167220,5916,2180,76214,41551,4250949,TRUE,FALSE,326
370382985,105900,19144,3410,658640,267526,19371155,TRUE,FALSE,327
369163485,111300,19688,3227,718577,49440,6995867,TRUE,FALSE,328
367557780,90930,47282,3652,466140,313237,11081100,TRUE,FALSE,329
367253325,302820,40072,1756,316158,47900,8165921,TRUE,FALSE,330
366149805,93090,24264,3452,107796,107638,78682556,TRUE,FALSE,331
365991285,169995,49085,2111,489369,71900,7405287,TRUE,FALSE,332
365960115,175470,10815,1996,72934,45221,7835344,TRUE,FALSE,333
365322330,35130,153368,10412,1099739,1087642,7986679,TRUE,FALSE,334
364316700,433350,4227,825,333497,90841,4951338,TRUE,FALSE,335
362935110,516045,6259,700,425258,31100,6027057,FALSE,FALSE,336
362279835,52200,259210,6525,1166441,828720,11406826,TRUE,FALSE,337
361607250,156465,8212,2331,188021,63837,11752556,TRUE,FALSE,338
361224645,97800,37023,3712,358427,71217,12794312,TRUE,TRUE,339
360179280,151350,8140,2388,240844,21235,3630128,TRUE,FALSE,340
359508840,88875,10349,4024,290370,39804,14104568,TRUE,FALSE,341
358587360,54255,25985,6632,371306,226996,12901688,TRUE,FALSE,342
358204950,162975,24576,2181,209814,179435,5781447,TRUE,TRUE,343
358001415,118320,27956,2991,422248,56831,24645693,TRUE,FALSE,344
357966315,57165,74949,6530,219539,166599,9173781,TRUE,FALSE,345
357630300,127995,9268,2734,183240,81844,8598168,TRUE,FALSE,346
357200865,157350,16445,2252,268903,177199,4260134,TRUE,FALSE,347
354836325,189600,8222,1805,313367,74566,6747244,TRUE,FALSE,348
354802590,25785,35279,12838,1773073,805068,21786646,TRUE,FALSE,349
353301795,91770,18317,3710,562403,96871,15015030,TRUE,TRUE,350
352629255,145440,12758,2491,299837,35829,7140124,TRUE,TRUE,351
351448260,123930,18387,2744,274996,90144,10936983,TRUE,TRUE,352
351371505,202875,12465,1738,758417,125687,12203974,TRUE,FALSE,353
345988185,102240,18090,2954,459065,384411,6820654,TRUE,FALSE,354
343265535,130170,11839,2631,575348,38494,6300186,TRUE,TRUE,355
341364840,136710,29993,2475,535322,257759,12991488,TRUE,FALSE,356
339422370,165405,10571,1967,300317,184396,8946810,TRUE,TRUE,357
339200640,116595,36278,2575,397674,343763,16481840,TRUE,FALSE,358
338734635,231990,20664,1384,141788,89796,2420928,TRUE,FALSE,359
337800690,87555,22070,3812,543776,13777,5075342,TRUE,FALSE,360
336976875,131580,11243,2525,153823,37611,5304123,TRUE,TRUE,361
336975780,103140,20918,3225,250010,76837,4314744,TRUE,TRUE,362
336053235,91845,29931,3441,644131,455004,11595098,TRUE,FALSE,363
333293805,114030,16518,2541,538334,160065,4372819,TRUE,FALSE,364
333277155,75210,15459,4167,417856,188025,10172899,TRUE,FALSE,365
330910035,31095,65674,6156,697847,555860,4547332,TRUE,FALSE,366
329687445,145695,9248,2294,262172,44218,8830613,TRUE,FALSE,367
326578395,130545,29444,2530,894061,687858,12657186,TRUE,FALSE,368
326443425,65190,54508,4521,258293,75793,14959309,TRUE,FALSE,369
326144460,208815,5967,1497,140457,14625,11962417,TRUE,FALSE,370
325985265,245430,11533,1195,35566,33289,64039568,FALSE,FALSE,371
324515280,14190,106126,21846,1305714,445681,11488184,TRUE,FALSE,372
322672320,102360,8377,3082,114725,50106,4334309,TRUE,FALSE,373
322355115,117900,11418,2465,376778,296909,9083473,TRUE,FALSE,374
320051400,135930,16215,2323,433876,418404,10144867,TRUE,TRUE,375
319932180,121500,30044,2721,508563,185428,5873637,TRUE,FALSE,376
319682925,67350,15928,4874,310976,171132,2988501,TRUE,TRUE,377
318725100,134790,103833,1596,182313,125564,4144457,TRUE,FALSE,378
318435735,153900,118125,1612,124792,85101,5399523,TRUE,FALSE,379
317988990,82125,13108,3922,345771,67627,4136247,TRUE,TRUE,380
317931735,82020,9671,3798,204167,22496,10864927,TRUE,FALSE,381
317774670,23985,89371,11210,1021165,961665,7197510,TRUE,TRUE,382
317184930,167520,11914,1869,131378,22642,9734513,TRUE,TRUE,383
315803505,126750,9981,2318,107781,97799,3687765,TRUE,FALSE,384
315577125,152595,8173,2034,257123,27229,9202377,TRUE,TRUE,385
314302860,59295,25820,4817,486965,252626,8151416,TRUE,FALSE,386
313630980,23685,121009,12485,791312,786037,5800017,TRUE,FALSE,387
313573305,25620,60846,10765,175795,66639,12325407,TRUE,FALSE,388
